##,Player,GP,GS,Min,MinAvg,FG,FGA,FGPct,3FG,3FGA,3Pct,FT,FTA,FTPct,Off,Def,Tot,FoulAvg,PF,FO,A,TO,Blk,Stl,Pts,PtsAvg
20,"HARRIS, Elias",8,8,258,32.2,41,75,0.547,8,18,0.444,27,37,0.73,12,45,57,7.1,21,0,10,16,3,5,117,14.6
45,"BOLTON, Rasir",2,2,56,28,8,14,0.571,3,7,0.429,9,11,0.818,0,3,3,1.5,8,0,1,5,0,1,28,14
23,"NORVELL JR., Zach",5,5,134,26.8,25,49,0.51,15,32,0.469,4,6,0.667,4,13,17,3.4,14,0,6,12,1,5,68,13.6
41,"FRANKLIN, Todd",2,2,64,32,10,16,0.625,0,0,0,7,7,1,4,12,16,8,7,0,4,8,0,1,27,13.5
11,"HALL, Quentin",6,3,170,28.3,28,53,0.528,10,26,0.385,13,16,0.813,4,17,21,3.5,17,0,17,10,1,8,79,13.2
11,"AYAYI, Joel",5,4,141,28.2,18,34,0.529,7,16,0.438,12,16,0.75,11,24,35,7,9,0,4,5,2,3,65,13
25,"ROE, Danny",2,1,49,24.5,12,21,0.571,2,4,0.5,0,1,0,5,2,7,3.5,10,2,1,2,1,0,26,13
11,"SABONIS, Domantas",6,3,161,26.8,27,47,0.574,2,2,1,22,30,0.733,15,31,46,7.7,19,0,7,16,4,2,78,13
35,"HAALAND, Dale",1,1,36,36,5,10,0.5,0,0,0,3,5,0.6,5,8,13,13,3,0,2,2,0,2,13,13
33,"TILLIE, Killian",10,5,199,19.9,43,63,0.682,19,26,0.73,15,19,0.789,7,31,38,3.8,12,0,9,11,4,7,126,12.6
34,"HOLMGREN, Chet",2,2,56,28,10,19,0.526,1,8,0.125,4,5,0.8,1,15,16,8,8,0,2,5,7,5,25,12.5
5,"RAIVIO, Derek",8,6,226,28.3,25,54,0.463,10,29,0.345,40,43,0.93,4,12,16,2,5,0,22,10,1,11,100,12.5
